N,itm,Date,t,s
3,3,2024/10/31 0:30,15.76,33.9
4,4,2024/10/31 1:30,15.76,33.9
5,5,2024/10/31 2:30,15.76,33.9
6,6,2024/10/31 3:30,15.76,33.9
7,7,2024/10/31 4:30,15.76,33.9
8,8,2024/10/31 5:30,15.76,33.9
9,9,2024/10/31 6:30,15.76,33.9
10,10,2024/10/31 7:30,15.76,33.9
11,11,2024/10/31 8:30,15.75,33.9
12,12,2024/10/31 9:30,15.75,33.9
13,13,2024/10/31 10:30,15.77,33.9
14,14,2024/10/31 11:30,15.76,33.9
15,15,2024/10/31 12:30,15.76,33.9
16,16,2024/10/31 13:30,15.77,33.9
17,17,2024/10/31 14:30,15.77,34
18,18,2024/10/31 15:30,15.78,34
19,19,2024/10/31 16:30,15.79,34
20,20,2024/10/31 17:30,15.79,34
21,21,2024/10/31 18:30,15.8,34
22,22,2024/10/31 19:30,15.8,34
23,23,2024/10/31 20:30,15.81,34
24,24,2024/10/31 21:30,15.82,34
25,25,2024/10/31 22:30,15.83,34
26,26,2024/10/31 23:30,15.84,34
27,27,2024/11/1 0:30,15.84,34
28,28,2024/11/1 1:30,15.85,34
29,29,2024/11/1 2:30,15.86,34
30,30,2024/11/1 3:30,15.88,34
31,31,2024/11/1 4:30,15.9,34
32,32,2024/11/1 5:30,15.92,34
33,33,2024/11/1 6:30,15.94,34
34,34,2024/11/1 7:30,15.96,34
35,35,2024/11/1 8:30,15.96,34
36,36,2024/11/1 9:30,15.94,34
37,37,2024/11/1 10:30,15.9,34
38,38,2024/11/1 11:30,15.89,34
39,39,2024/11/1 12:30,15.89,34
40,40,2024/11/1 13:30,15.9,34
41,41,2024/11/1 14:30,15.9,34
42,42,2024/11/1 15:30,15.9,34
43,43,2024/11/1 16:30,15.9,34
44,44,2024/11/1 17:30,15.9,34
45,45,2024/11/1 18:30,15.89,34
46,46,2024/11/1 19:30,15.89,34
47,47,2024/11/1 20:30,15.88,34
48,48,2024/11/1 21:30,15.88,34.1
49,49,2024/11/1 22:30,15.88,34.1
50,50,2024/11/1 23:30,15.87,34.1
51,51,2024/11/2 0:30,15.87,34.1
52,52,2024/11/2 1:30,15.87,34.1
53,53,2024/11/2 2:30,15.87,34.1
54,54,2024/11/2 3:30,15.86,34.1
55,55,2024/11/2 4:30,15.86,34.1
56,56,2024/11/2 5:30,15.85,34.1
57,57,2024/11/2 6:30,15.85,34.1
58,58,2024/11/2 7:30,15.85,34.1
59,59,2024/11/2 8:30,15.84,34.1
60,60,2024/11/2 9:30,15.84,34.1
61,61,2024/11/2 10:30,15.83,34.1
62,62,2024/11/2 11:30,15.82,34.1
63,63,2024/11/2 12:30,15.81,34.1
64,64,2024/11/2 13:30,15.8,34.1
65,65,2024/11/2 14:30,15.8,34.1
66,66,2024/11/2 15:30,15.79,34.1
67,67,2024/11/2 16:30,15.78,34.1
