N,itm,Date,u,v
3,3,2024-10-31 00:30:00,,
4,4,2024-10-31 01:30:00,,
5,5,2024-10-31 02:30:00,,
6,6,2024-10-31 03:30:00,,
7,7,2024-10-31 04:30:00,,
8,8,2024-10-31 05:30:00,,
9,9,2024-10-31 06:30:00,,
10,10,2024-10-31 07:30:00,,
11,11,2024-10-31 08:30:00,,
12,12,2024-10-31 09:30:00,,
13,13,2024-10-31 10:30:00,,
14,14,2024-10-31 11:30:00,,
15,15,2024-10-31 12:30:00,,
16,16,2024-10-31 13:30:00,,
17,17,2024-10-31 14:30:00,,
18,18,2024-10-31 15:30:00,,
19,19,2024-10-31 16:30:00,,
20,20,2024-10-31 17:30:00,,
21,21,2024-10-31 18:30:00,,
22,22,2024-10-31 19:30:00,,
23,23,2024-10-31 20:30:00,,
24,24,2024-10-31 21:30:00,,
25,25,2024-10-31 22:30:00,,
26,26,2024-10-31 23:30:00,,
27,27,2024-11-01 00:30:00,,
28,28,2024-11-01 01:30:00,,
29,29,2024-11-01 02:30:00,,
30,30,2024-11-01 03:30:00,,
31,31,2024-11-01 04:30:00,,
32,32,2024-11-01 05:30:00,,
33,33,2024-11-01 06:30:00,,
34,34,2024-11-01 07:30:00,,
35,35,2024-11-01 08:30:00,,
36,36,2024-11-01 09:30:00,,
37,37,2024-11-01 10:30:00,,
38,38,2024-11-01 11:30:00,,
39,39,2024-11-01 12:30:00,,
40,40,2024-11-01 13:30:00,,
41,41,2024-11-01 14:30:00,,
42,42,2024-11-01 15:30:00,,
43,43,2024-11-01 16:30:00,,
44,44,2024-11-01 17:30:00,,
45,45,2024-11-01 18:30:00,,
46,46,2024-11-01 19:30:00,,
47,47,2024-11-01 20:30:00,,
48,48,2024-11-01 21:30:00,,
49,49,2024-11-01 22:30:00,,
50,50,2024-11-01 23:30:00,,
51,51,2024-11-02 00:30:00,,
52,52,2024-11-02 01:30:00,,
53,53,2024-11-02 02:30:00,,
54,54,2024-11-02 03:30:00,,
55,55,2024-11-02 04:30:00,,
56,56,2024-11-02 05:30:00,,
57,57,2024-11-02 06:30:00,,
58,58,2024-11-02 07:30:00,,
59,59,2024-11-02 08:30:00,,
60,60,2024-11-02 09:30:00,,
61,61,2024-11-02 10:30:00,,
62,62,2024-11-02 11:30:00,,
63,63,2024-11-02 12:30:00,,
64,64,2024-11-02 13:30:00,,
65,65,2024-11-02 14:30:00,,
66,66,2024-11-02 15:30:00,,
67,67,2024-11-02 16:30:00,,
68,68,2024-11-02 17:30:00,,
69,69,2024-11-02 18:30:00,,
70,70,2024-11-02 19:30:00,,
71,71,2024-11-02 20:30:00,,
72,72,2024-11-02 21:30:00,,
73,73,2024-11-02 22:30:00,,
74,74,2024-11-02 23:30:00,,
75,75,2024-11-03 00:30:00,,
76,76,2024-11-03 01:30:00,,
77,77,2024-11-03 02:30:00,,
78,78,2024-11-03 03:30:00,,
79,79,2024-11-03 04:30:00,,
80,80,2024-11-03 05:30:00,,
81,81,2024-11-03 06:30:00,,
82,82,2024-11-03 07:30:00,,
83,83,2024-11-03 08:30:00,,
84,84,2024-11-03 09:30:00,,
85,85,2024-11-03 10:30:00,,
86,86,2024-11-03 11:30:00,,
87,87,2024-11-03 12:30:00,,
88,88,2024-11-03 13:30:00,,
89,89,2024-11-03 14:30:00,,
90,90,2024-11-03 15:30:00,,
91,91,2024-11-03 16:30:00,,
92,92,2024-11-03 17:30:00,,
93,93,2024-11-03 18:30:00,,
94,94,2024-11-03 19:30:00,,
95,95,2024-11-03 20:30:00,,
96,96,2024-11-03 21:30:00,,
97,97,2024-11-03 22:30:00,,
98,98,2024-11-03 23:30:00,,
99,99,2024-11-04 00:30:00,,
100,100,2024-11-04 01:30:00,,
101,101,2024-11-04 02:30:00,,
102,102,2024-11-04 03:30:00,,
103,103,2024-11-04 04:30:00,,
104,104,2024-11-04 05:30:00,,
105,105,2024-11-04 06:30:00,,
106,106,2024-11-04 07:30:00,,
107,107,2024-11-04 08:30:00,,
108,108,2024-11-04 09:30:00,,
109,109,2024-11-04 10:30:00,,
110,110,2024-11-04 11:30:00,,
111,111,2024-11-04 12:30:00,,
112,112,2024-11-04 13:30:00,,
113,113,2024-11-04 14:30:00,,
114,114,2024-11-04 15:30:00,,
115,115,2024-11-04 16:30:00,,
116,116,2024-11-04 17:30:00,,
117,117,2024-11-04 18:30:00,,
118,118,2024-11-04 19:30:00,,
