N,itm,Date,u,v
1,1,2024-09-01 08:30:00,0.07,0.16
2,2,2024-09-01 09:30:00,0.05,0.15
3,3,2024-09-01 10:30:00,0.04,0.15
4,4,2024-09-01 11:30:00,0.02,0.16
5,5,2024-09-01 12:30:00,0.04,0.15
6,6,2024-09-01 13:30:00,0.02,0.17
7,7,2024-09-01 14:30:00,0.04,0.16
8,8,2024-09-01 15:30:00,0.04,0.18
9,9,2024-09-01 16:30:00,0.05,0.19
10,10,2024-09-01 17:30:00,0.06,0.2
11,11,2024-09-01 18:30:00,0.07,0.21
12,12,2024-09-01 19:30:00,0.07,0.22
13,13,2024-09-01 20:30:00,0.08,0.22
14,14,2024-09-01 21:30:00,0.09,0.22
15,15,2024-09-01 22:30:00,0.1,0.2
16,16,2024-09-01 23:30:00,0.1,0.2
17,17,2024-09-02 00:30:00,0.11,0.19
18,18,2024-09-02 01:30:00,0.11,0.17
19,19,2024-09-02 02:30:00,0.1,0.17
20,20,2024-09-02 03:30:00,0.09,0.16
21,21,2024-09-02 04:30:00,0.08,0.14
22,22,2024-09-02 05:30:00,0.07,0.13
23,23,2024-09-02 06:30:00,0.04,0.14
24,24,2024-09-02 07:30:00,0.03,0.13
25,25,2024-09-02 08:30:00,0.04,0.11
26,26,2024-09-02 09:30:00,0.02,0.12
27,27,2024-09-02 10:30:00,0.04,0.11
28,28,2024-09-02 11:30:00,0.05,0.1
29,29,2024-09-02 12:30:00,0.05,0.08
30,30,2024-09-02 13:30:00,0.04,0.08
31,31,2024-09-02 14:30:00,0.04,0.06
32,32,2024-09-02 15:30:00,0.0,0.09
33,33,2024-09-02 16:30:00,0.0,0.08
34,34,2024-09-02 17:30:00,-0.02,0.11
35,35,2024-09-02 18:30:00,-0.02,0.11
36,36,2024-09-02 19:30:00,-0.04,0.14
37,37,2024-09-02 20:30:00,-0.02,0.14
38,38,2024-09-02 21:30:00,-0.02,0.17
39,39,2024-09-02 22:30:00,-0.01,0.18
40,40,2024-09-02 23:30:00,0.01,0.2
41,41,2024-09-03 00:30:00,0.03,0.2
42,42,2024-09-03 01:30:00,0.06,0.19
43,43,2024-09-03 02:30:00,0.07,0.19
44,44,2024-09-03 03:30:00,0.08,0.18
