N,itm,Date,t,s
1,1,2025-09-23 18:30:00,21.4,33.2
2,2,2025-09-23 19:30:00,21.4,33.2
3,3,2025-09-23 20:30:00,21.4,33.2
4,4,2025-09-23 21:30:00,21.3,33.2
5,5,2025-09-23 22:30:00,21.3,33.2
6,6,2025-09-23 23:30:00,21.3,33.2
7,7,2025-09-24 00:30:00,21.3,33.2
8,8,2025-09-24 01:30:00,21.3,33.2
9,9,2025-09-24 02:30:00,21.3,33.2
10,10,2025-09-24 03:30:00,21.3,33.2
11,11,2025-09-24 04:30:00,21.3,33.2
12,12,2025-09-24 05:30:00,21.3,33.3
13,13,2025-09-24 06:30:00,21.3,33.3
14,14,2025-09-24 07:30:00,21.3,33.3
15,15,2025-09-24 08:30:00,21.3,33.3
16,16,2025-09-24 09:30:00,21.3,33.3
17,17,2025-09-24 10:30:00,21.3,33.3
18,18,2025-09-24 11:30:00,21.2,33.2
19,19,2025-09-24 12:30:00,21.2,33.2
20,20,2025-09-24 13:30:00,21.1,33.2
21,21,2025-09-24 14:30:00,21.1,33.1
22,22,2025-09-24 15:30:00,21.0,33.1
23,23,2025-09-24 16:30:00,21.0,33.0
24,24,2025-09-24 17:30:00,20.9,33.0
25,25,2025-09-24 18:30:00,20.9,33.0
26,26,2025-09-24 19:30:00,20.9,32.9
27,27,2025-09-24 20:30:00,20.8,32.8
28,28,2025-09-24 21:30:00,20.8,32.8
29,29,2025-09-24 22:30:00,20.8,32.7
30,30,2025-09-24 23:30:00,20.9,32.6
31,31,2025-09-25 00:30:00,20.9,32.6
32,32,2025-09-25 01:30:00,20.9,32.5
33,33,2025-09-25 02:30:00,20.9,32.5
34,34,2025-09-25 03:30:00,21.0,32.5
35,35,2025-09-25 04:30:00,21.0,32.5
36,36,2025-09-25 05:30:00,21.1,32.5
37,37,2025-09-25 06:30:00,21.1,32.5
38,38,2025-09-25 07:30:00,21.2,32.5
39,39,2025-09-25 08:30:00,21.2,32.6
40,40,2025-09-25 09:30:00,21.3,32.6
41,41,2025-09-25 10:30:00,21.3,32.7
42,42,2025-09-25 11:30:00,21.2,32.7
43,43,2025-09-25 12:30:00,21.2,32.7
44,44,2025-09-25 13:30:00,21.2,32.7
45,45,2025-09-25 14:30:00,21.1,32.6
46,46,2025-09-25 15:30:00,21.1,32.6
47,47,2025-09-25 16:30:00,21.1,32.5
48,48,2025-09-25 17:30:00,21.0,32.4
49,49,2025-09-25 18:30:00,21.0,32.4
50,50,2025-09-25 19:30:00,21.0,32.4
51,51,2025-09-25 20:30:00,21.0,32.4
52,52,2025-09-25 21:30:00,21.0,32.4
53,53,2025-09-25 22:30:00,21.1,32.5
54,54,2025-09-25 23:30:00,21.1,32.5
55,55,2025-09-26 00:30:00,21.2,32.6
56,56,2025-09-26 01:30:00,21.2,32.6
57,57,2025-09-26 02:30:00,21.2,32.6
58,58,2025-09-26 03:30:00,21.2,32.7
59,59,2025-09-26 04:30:00,21.2,32.7
60,60,2025-09-26 05:30:00,21.3,32.7
61,61,2025-09-26 06:30:00,21.2,32.7
62,62,2025-09-26 07:30:00,21.2,32.7
63,63,2025-09-26 08:30:00,21.2,32.7
64,64,2025-09-26 09:30:00,21.2,32.6
65,65,2025-09-26 10:30:00,21.2,32.6
66,66,2025-09-26 11:30:00,21.1,32.6
67,67,2025-09-26 12:30:00,21.1,32.6
68,68,2025-09-26 13:30:00,21.1,32.6
69,69,2025-09-26 14:30:00,21.1,32.6
70,70,2025-09-26 15:30:00,21.1,32.6
71,71,2025-09-26 16:30:00,21.0,32.6
72,72,2025-09-26 17:30:00,21.0,32.5
73,73,2025-09-26 18:30:00,21.0,32.5
74,74,2025-09-26 19:30:00,21.0,32.5
75,75,2025-09-26 20:30:00,21.0,32.5
76,76,2025-09-26 21:30:00,21.0,32.5
77,77,2025-09-26 22:30:00,21.0,32.5
78,78,2025-09-26 23:30:00,21.0,32.5
79,79,2025-09-27 00:30:00,21.0,32.5
80,80,2025-09-27 01:30:00,21.1,32.6
81,81,2025-09-27 02:30:00,21.1,32.6
82,82,2025-09-27 03:30:00,21.1,32.6
83,83,2025-09-27 04:30:00,21.2,32.7
84,84,2025-09-27 05:30:00,21.2,32.7
85,85,2025-09-27 06:30:00,21.3,32.7
86,86,2025-09-27 07:30:00,21.3,32.8
87,87,2025-09-27 08:30:00,21.3,32.8
