N,itm,Date,u,v
1,1,2024-09-01 08:30:00,0.31,0.04
2,2,2024-09-01 09:30:00,0.3,0.03
3,3,2024-09-01 10:30:00,0.28,0.03
4,4,2024-09-01 11:30:00,0.26,0.03
5,5,2024-09-01 12:30:00,0.28,0.03
6,6,2024-09-01 13:30:00,0.25,0.03
7,7,2024-09-01 14:30:00,0.26,0.02
8,8,2024-09-01 15:30:00,0.25,0.01
9,9,2024-09-01 16:30:00,0.24,0.01
10,10,2024-09-01 17:30:00,0.23,0.01
11,11,2024-09-01 18:30:00,0.23,0.01
12,12,2024-09-01 19:30:00,0.21,0.01
13,13,2024-09-01 20:30:00,0.19,0.01
14,14,2024-09-01 21:30:00,0.18,-0.0
15,15,2024-09-01 22:30:00,0.16,-0.02
16,16,2024-09-01 23:30:00,0.12,-0.02
17,17,2024-09-02 00:30:00,0.1,-0.03
18,18,2024-09-02 01:30:00,0.09,-0.03
19,19,2024-09-02 02:30:00,0.06,-0.02
20,20,2024-09-02 03:30:00,0.04,-0.01
21,21,2024-09-02 04:30:00,0.03,-0.01
22,22,2024-09-02 05:30:00,0.04,-0.0
23,23,2024-09-02 06:30:00,0.02,0.01
24,24,2024-09-02 07:30:00,0.03,0.02
25,25,2024-09-02 08:30:00,0.05,0.02
26,26,2024-09-02 09:30:00,0.03,0.03
27,27,2024-09-02 10:30:00,0.06,0.03
28,28,2024-09-02 11:30:00,0.07,0.02
29,29,2024-09-02 12:30:00,0.07,-0.01
30,30,2024-09-02 13:30:00,0.06,-0.01
31,31,2024-09-02 14:30:00,0.09,-0.02
32,32,2024-09-02 15:30:00,0.05,-0.01
33,33,2024-09-02 16:30:00,0.07,-0.02
34,34,2024-09-02 17:30:00,0.05,-0.01
35,35,2024-09-02 18:30:00,0.06,-0.01
36,36,2024-09-02 19:30:00,0.03,-0.01
37,37,2024-09-02 20:30:00,0.05,-0.01
38,38,2024-09-02 21:30:00,0.04,-0.01
39,39,2024-09-02 22:30:00,0.04,-0.01
40,40,2024-09-02 23:30:00,0.04,-0.01
41,41,2024-09-03 00:30:00,0.05,-0.0
42,42,2024-09-03 01:30:00,0.06,-0.0
43,43,2024-09-03 02:30:00,0.06,-0.0
44,44,2024-09-03 03:30:00,0.06,-0.0
45,45,2024-09-03 04:30:00,0.06,-0.01
46,46,2024-09-03 05:30:00,0.03,-0.01
47,47,2024-09-03 06:30:00,0.04,-0.01
48,48,2024-09-03 07:30:00,0.0,-0.01
49,49,2024-09-03 08:30:00,-0.01,-0.01
50,50,2024-09-03 09:30:00,-0.02,-0.0
51,51,2024-09-03 10:30:00,-0.03,0.0
52,52,2024-09-03 11:30:00,-0.05,0.0
53,53,2024-09-03 12:30:00,-0.03,-0.01
54,54,2024-09-03 13:30:00,-0.06,-0.0
55,55,2024-09-03 14:30:00,-0.03,-0.0
56,56,2024-09-03 15:30:00,-0.05,0.01
57,57,2024-09-03 16:30:00,-0.02,0.01
58,58,2024-09-03 17:30:00,-0.03,0.01
59,59,2024-09-03 18:30:00,0.01,0.0
60,60,2024-09-03 19:30:00,-0.02,0.01
61,61,2024-09-03 20:30:00,0.04,-0.0
62,62,2024-09-03 21:30:00,0.01,-0.0
63,63,2024-09-03 22:30:00,0.05,-0.01
64,64,2024-09-03 23:30:00,0.04,-0.01
65,65,2024-09-04 00:30:00,0.06,-0.01
66,66,2024-09-04 01:30:00,0.05,-0.01
67,67,2024-09-04 02:30:00,0.06,-0.01
68,68,2024-09-04 03:30:00,0.05,-0.01
69,69,2024-09-04 04:30:00,0.05,-0.01
70,70,2024-09-04 05:30:00,0.03,-0.01
