N,itm,Date,u,v
3,3,2024-10-31 00:30:00,-0.0,-0.03
4,4,2024-10-31 01:30:00,-0.0,-0.03
5,5,2024-10-31 02:30:00,-0.0,-0.03
6,6,2024-10-31 03:30:00,-0.01,-0.03
7,7,2024-10-31 04:30:00,-0.01,-0.02
8,8,2024-10-31 05:30:00,-0.01,-0.02
9,9,2024-10-31 06:30:00,-0.01,0.0
10,10,2024-10-31 07:30:00,-0.01,0.01
11,11,2024-10-31 08:30:00,-0.01,0.02
12,12,2024-10-31 09:30:00,-0.01,0.02
13,13,2024-10-31 10:30:00,-0.0,0.03
14,14,2024-10-31 11:30:00,0.0,0.03
15,15,2024-10-31 12:30:00,-0.0,0.04
16,16,2024-10-31 13:30:00,0.01,0.04
17,17,2024-10-31 14:30:00,0.01,0.04
18,18,2024-10-31 15:30:00,0.01,0.04
19,19,2024-10-31 16:30:00,0.01,0.04
20,20,2024-10-31 17:30:00,0.01,0.04
21,21,2024-10-31 18:30:00,0.01,0.04
22,22,2024-10-31 19:30:00,0.01,0.04
23,23,2024-10-31 20:30:00,0.01,0.04
24,24,2024-10-31 21:30:00,0.02,0.04
25,25,2024-10-31 22:30:00,0.02,0.04
26,26,2024-10-31 23:30:00,0.03,0.02
27,27,2024-11-01 00:30:00,0.02,0.02
28,28,2024-11-01 01:30:00,0.03,-0.0
29,29,2024-11-01 02:30:00,0.01,0.0
30,30,2024-11-01 03:30:00,0.01,-0.01
31,31,2024-11-01 04:30:00,-0.0,-0.0
32,32,2024-11-01 05:30:00,-0.01,-0.0
33,33,2024-11-01 06:30:00,-0.02,0.01
34,34,2024-11-01 07:30:00,-0.02,0.02
35,35,2024-11-01 08:30:00,-0.01,0.04
36,36,2024-11-01 09:30:00,0.0,0.04
37,37,2024-11-01 10:30:00,0.0,0.06
38,38,2024-11-01 11:30:00,0.02,0.06
39,39,2024-11-01 12:30:00,0.05,0.03
40,40,2024-11-01 13:30:00,0.05,0.03
41,41,2024-11-01 14:30:00,0.05,0.02
42,42,2024-11-01 15:30:00,0.05,0.03
43,43,2024-11-01 16:30:00,0.05,0.02
44,44,2024-11-01 17:30:00,0.05,0.03
45,45,2024-11-01 18:30:00,0.05,0.01
46,46,2024-11-01 19:30:00,0.04,0.0
47,47,2024-11-01 20:30:00,0.04,-0.02
48,48,2024-11-01 21:30:00,0.02,-0.02
49,49,2024-11-01 22:30:00,0.01,-0.03
50,50,2024-11-01 23:30:00,-0.0,-0.03
51,51,2024-11-02 00:30:00,-0.01,-0.03
52,52,2024-11-02 01:30:00,-0.02,-0.03
53,53,2024-11-02 02:30:00,-0.03,-0.02
54,54,2024-11-02 03:30:00,-0.03,-0.0
55,55,2024-11-02 04:30:00,-0.02,0.01
56,56,2024-11-02 05:30:00,0.0,0.02
57,57,2024-11-02 06:30:00,0.02,0.02
58,58,2024-11-02 07:30:00,0.02,0.02
59,59,2024-11-02 08:30:00,0.02,0.02
60,60,2024-11-02 09:30:00,0.02,0.03
61,61,2024-11-02 10:30:00,0.03,0.02
62,62,2024-11-02 11:30:00,0.03,0.02
63,63,2024-11-02 12:30:00,0.03,0.01
64,64,2024-11-02 13:30:00,0.03,0.01
65,65,2024-11-02 14:30:00,0.04,-0.01
66,66,2024-11-02 15:30:00,0.03,-0.01
67,67,2024-11-02 16:30:00,0.04,-0.03
68,68,2024-11-02 17:30:00,0.03,-0.03
69,69,2024-11-02 18:30:00,0.03,-0.04
70,70,2024-11-02 19:30:00,0.02,-0.03
71,71,2024-11-02 20:30:00,0.02,-0.03
72,72,2024-11-02 21:30:00,0.02,-0.02
73,73,2024-11-02 22:30:00,0.02,-0.02
74,74,2024-11-02 23:30:00,0.01,0.0
75,75,2024-11-03 00:30:00,0.02,0.02
76,76,2024-11-03 01:30:00,0.04,0.02
77,77,2024-11-03 02:30:00,0.03,0.05
78,78,2024-11-03 03:30:00,0.04,0.03
79,79,2024-11-03 04:30:00,0.05,0.04
80,80,2024-11-03 05:30:00,0.05,0.04
81,81,2024-11-03 06:30:00,0.05,0.03
82,82,2024-11-03 07:30:00,0.04,0.02
83,83,2024-11-03 08:30:00,0.04,0.01
84,84,2024-11-03 09:30:00,0.04,-0.0
85,85,2024-11-03 10:30:00,0.03,-0.02
86,86,2024-11-03 11:30:00,0.02,-0.03
87,87,2024-11-03 12:30:00,0.03,-0.06
88,88,2024-11-03 13:30:00,0.01,-0.04
89,89,2024-11-03 14:30:00,0.02,-0.07
90,90,2024-11-03 15:30:00,0.0,-0.05
91,91,2024-11-03 16:30:00,0.01,-0.06
92,92,2024-11-03 17:30:00,0.01,-0.05
93,93,2024-11-03 18:30:00,0.01,-0.04
94,94,2024-11-03 19:30:00,0.01,-0.03
95,95,2024-11-03 20:30:00,0.02,-0.02
96,96,2024-11-03 21:30:00,0.03,-0.01
97,97,2024-11-03 22:30:00,0.03,-0.0
98,98,2024-11-03 23:30:00,0.03,0.02
99,99,2024-11-04 00:30:00,0.03,0.03
100,100,2024-11-04 01:30:00,0.03,0.06
101,101,2024-11-04 02:30:00,0.02,0.07
102,102,2024-11-04 03:30:00,0.01,0.09
103,103,2024-11-04 04:30:00,0.02,0.09
104,104,2024-11-04 05:30:00,0.01,0.11
105,105,2024-11-04 06:30:00,0.01,0.09
106,106,2024-11-04 07:30:00,0.0,0.1
107,107,2024-11-04 08:30:00,0.0,0.09
108,108,2024-11-04 09:30:00,-0.0,0.09
109,109,2024-11-04 10:30:00,-0.01,0.1
110,110,2024-11-04 11:30:00,-0.01,0.1
111,111,2024-11-04 12:30:00,-0.01,0.11
112,112,2024-11-04 13:30:00,-0.01,0.12
113,113,2024-11-04 14:30:00,-0.0,0.12
114,114,2024-11-04 15:30:00,-0.0,0.13
115,115,2024-11-04 16:30:00,0.0,0.13
116,116,2024-11-04 17:30:00,0.01,0.12
117,117,2024-11-04 18:30:00,0.01,0.12
118,118,2024-11-04 19:30:00,0.01,0.12
119,119,2024-11-04 20:30:00,0.01,0.11
120,120,2024-11-04 21:30:00,0.01,0.11
121,121,2024-11-04 22:30:00,0.01,0.1
122,122,2024-11-04 23:30:00,0.0,0.09
123,123,2024-11-05 00:30:00,-0.0,0.09
124,124,2024-11-05 01:30:00,0.0,0.08
125,125,2024-11-05 02:30:00,-0.01,0.09
126,126,2024-11-05 03:30:00,-0.0,0.09
127,127,2024-11-05 04:30:00,0.0,0.1
128,128,2024-11-05 05:30:00,0.0,0.11
129,129,2024-11-05 06:30:00,0.01,0.11
130,130,2024-11-05 07:30:00,0.01,0.11
131,131,2024-11-05 08:30:00,0.01,0.11
132,132,2024-11-05 09:30:00,0.02,0.1
133,133,2024-11-05 10:30:00,0.02,0.09
134,134,2024-11-05 11:30:00,0.02,0.08
135,135,2024-11-05 12:30:00,0.02,0.06
136,136,2024-11-05 13:30:00,0.02,0.05
137,137,2024-11-05 14:30:00,0.02,0.03
138,138,2024-11-05 15:30:00,0.02,0.02
139,139,2024-11-05 16:30:00,0.02,0.01
140,140,2024-11-05 17:30:00,0.01,0.0
141,141,2024-11-05 18:30:00,0.01,0.0
142,142,2024-11-05 19:30:00,0.0,0.01
143,143,2024-11-05 20:30:00,0.0,0.01
144,144,2024-11-05 21:30:00,0.0,0.02
145,145,2024-11-05 22:30:00,0.0,0.03
146,146,2024-11-05 23:30:00,0.01,0.05
147,147,2024-11-06 00:30:00,0.02,0.05
148,148,2024-11-06 01:30:00,0.02,0.07
149,149,2024-11-06 02:30:00,0.04,0.05
150,150,2024-11-06 03:30:00,0.04,0.06
151,151,2024-11-06 04:30:00,0.04,0.05
152,152,2024-11-06 05:30:00,0.05,0.04
153,153,2024-11-06 06:30:00,0.05,0.02
154,154,2024-11-06 07:30:00,0.05,-0.0
155,155,2024-11-06 08:30:00,0.04,-0.02
156,156,2024-11-06 09:30:00,0.03,-0.05
157,157,2024-11-06 10:30:00,0.02,-0.06
158,158,2024-11-06 11:30:00,0.01,-0.08
159,159,2024-11-06 12:30:00,0.0,-0.08
160,160,2024-11-06 13:30:00,0.0,-0.1
161,161,2024-11-06 14:30:00,-0.01,-0.1
162,162,2024-11-06 15:30:00,-0.01,-0.1
163,163,2024-11-06 16:30:00,-0.01,-0.11
164,164,2024-11-06 17:30:00,-0.02,-0.09
