N,itm,Date,u,v
1,1,2024-08-30 22:30:00,-0.03,-0.04
2,2,2024-08-30 23:30:00,-0.04,-0.01
3,3,2024-08-31 00:30:00,-0.04,0.02
4,4,2024-08-31 01:30:00,-0.03,0.04
5,5,2024-08-31 02:30:00,-0.03,0.07
6,6,2024-08-31 03:30:00,-0.0,0.07
7,7,2024-08-31 04:30:00,0.0,0.09
8,8,2024-08-31 05:30:00,0.0,0.09
9,9,2024-08-31 06:30:00,0.0,0.1
10,10,2024-08-31 07:30:00,-0.01,0.1
11,11,2024-08-31 08:30:00,-0.01,0.1
12,12,2024-08-31 09:30:00,-0.01,0.09
13,13,2024-08-31 10:30:00,-0.02,0.1
14,14,2024-08-31 11:30:00,-0.01,0.08
15,15,2024-08-31 12:30:00,-0.0,0.07
16,16,2024-08-31 13:30:00,-0.01,0.06
17,17,2024-08-31 14:30:00,-0.01,0.06
18,18,2024-08-31 15:30:00,-0.0,0.06
19,19,2024-08-31 16:30:00,0.01,0.05
20,20,2024-08-31 17:30:00,0.0,0.06
21,21,2024-08-31 18:30:00,0.0,0.05
22,22,2024-08-31 19:30:00,-0.01,0.06
23,23,2024-08-31 20:30:00,-0.01,0.05
24,24,2024-08-31 21:30:00,-0.03,0.08
25,25,2024-08-31 22:30:00,-0.03,0.08
26,26,2024-08-31 23:30:00,-0.03,0.1
27,27,2024-09-01 00:30:00,-0.04,0.11
28,28,2024-09-01 01:30:00,-0.04,0.12
29,29,2024-09-01 02:30:00,-0.04,0.13
30,30,2024-09-01 03:30:00,-0.04,0.13
31,31,2024-09-01 04:30:00,-0.04,0.14
32,32,2024-09-01 05:30:00,-0.04,0.13
33,33,2024-09-01 06:30:00,-0.04,0.12
34,34,2024-09-01 07:30:00,-0.04,0.11
35,35,2024-09-01 08:30:00,-0.03,0.1
36,36,2024-09-01 09:30:00,-0.02,0.09
37,37,2024-09-01 10:30:00,-0.02,0.07
38,38,2024-09-01 11:30:00,-0.01,0.06
39,39,2024-09-01 12:30:00,0.01,0.03
40,40,2024-09-01 13:30:00,0.0,0.03
41,41,2024-09-01 14:30:00,0.01,-0.0
42,42,2024-09-01 15:30:00,0.0,-0.01
43,43,2024-09-01 16:30:00,-0.01,-0.01
44,44,2024-09-01 17:30:00,-0.02,-0.0
45,45,2024-09-01 18:30:00,-0.03,0.01
46,46,2024-09-01 19:30:00,-0.03,0.03
47,47,2024-09-01 20:30:00,-0.04,0.05
48,48,2024-09-01 21:30:00,-0.03,0.07
49,49,2024-09-01 22:30:00,-0.02,0.08
50,50,2024-09-01 23:30:00,-0.02,0.1
51,51,2024-09-02 00:30:00,-0.02,0.1
52,52,2024-09-02 01:30:00,-0.02,0.11
53,53,2024-09-02 02:30:00,-0.02,0.11
54,54,2024-09-02 03:30:00,-0.01,0.11
55,55,2024-09-02 04:30:00,0.01,0.1
56,56,2024-09-02 05:30:00,0.04,0.07
57,57,2024-09-02 06:30:00,0.06,0.05
58,58,2024-09-02 07:30:00,0.06,0.01
59,59,2024-09-02 08:30:00,0.05,-0.02
60,60,2024-09-02 09:30:00,0.03,-0.03
61,61,2024-09-02 10:30:00,0.01,-0.04
62,62,2024-09-02 11:30:00,-0.0,-0.05
63,63,2024-09-02 12:30:00,-0.02,-0.06
64,64,2024-09-02 13:30:00,-0.02,-0.06
65,65,2024-09-02 14:30:00,-0.02,-0.07
66,66,2024-09-02 15:30:00,-0.05,-0.03
67,67,2024-09-02 16:30:00,-0.04,-0.02
68,68,2024-09-02 17:30:00,-0.02,-0.0
69,69,2024-09-02 18:30:00,-0.01,-0.01
70,70,2024-09-02 19:30:00,-0.01,0.01
71,71,2024-09-02 20:30:00,0.01,0.01
72,72,2024-09-02 21:30:00,0.02,0.01
73,73,2024-09-02 22:30:00,0.03,0.01
74,74,2024-09-02 23:30:00,0.03,-0.0
75,75,2024-09-03 00:30:00,0.03,-0.01
76,76,2024-09-03 01:30:00,0.02,-0.0
77,77,2024-09-03 02:30:00,-0.0,0.02
78,78,2024-09-03 03:30:00,-0.01,0.05
79,79,2024-09-03 04:30:00,-0.0,0.06
80,80,2024-09-03 05:30:00,-0.01,0.08
81,81,2024-09-03 06:30:00,0.0,0.07
82,82,2024-09-03 07:30:00,0.0,0.08
83,83,2024-09-03 08:30:00,-0.0,0.08
84,84,2024-09-03 09:30:00,0.01,0.08
85,85,2024-09-03 10:30:00,0.02,0.07
86,86,2024-09-03 11:30:00,0.02,0.06
87,87,2024-09-03 12:30:00,0.03,0.03
88,88,2024-09-03 13:30:00,0.04,0.03
89,89,2024-09-03 14:30:00,0.06,-0.02
90,90,2024-09-03 15:30:00,0.07,-0.03
91,91,2024-09-03 16:30:00,0.07,-0.08
92,92,2024-09-03 17:30:00,0.03,-0.08
93,93,2024-09-03 18:30:00,-0.0,-0.1
94,94,2024-09-03 19:30:00,-0.03,-0.08
95,95,2024-09-03 20:30:00,-0.04,-0.09
96,96,2024-09-03 21:30:00,-0.05,-0.05
97,97,2024-09-03 22:30:00,-0.04,-0.06
98,98,2024-09-03 23:30:00,-0.04,-0.03
99,99,2024-09-04 00:30:00,-0.04,-0.03
100,100,2024-09-04 01:30:00,-0.03,-0.01
101,101,2024-09-04 02:30:00,-0.02,-0.0
102,102,2024-09-04 03:30:00,-0.01,0.02
103,103,2024-09-04 04:30:00,-0.0,0.03
104,104,2024-09-04 05:30:00,-0.0,0.05
105,105,2024-09-04 06:30:00,0.01,0.05
106,106,2024-09-04 07:30:00,0.02,0.06
107,107,2024-09-04 08:30:00,0.03,0.05
108,108,2024-09-04 09:30:00,0.03,0.04
109,109,2024-09-04 10:30:00,0.04,0.03
110,110,2024-09-04 11:30:00,0.02,0.04
111,111,2024-09-04 12:30:00,0.02,0.03
112,112,2024-09-04 13:30:00,0.01,0.04
113,113,2024-09-04 14:30:00,0.0,0.03
114,114,2024-09-04 15:30:00,0.01,0.03
115,115,2024-09-04 16:30:00,0.01,0.02
116,116,2024-09-04 17:30:00,0.02,0.0
117,117,2024-09-04 18:30:00,0.02,-0.01
118,118,2024-09-04 19:30:00,0.02,-0.02
119,119,2024-09-04 20:30:00,0.02,-0.04
120,120,2024-09-04 21:30:00,0.02,-0.05
121,121,2024-09-04 22:30:00,0.02,-0.07
122,122,2024-09-04 23:30:00,0.01,-0.07
123,123,2024-09-05 00:30:00,0.01,-0.09
124,124,2024-09-05 01:30:00,0.0,-0.08
125,125,2024-09-05 02:30:00,-0.01,-0.08
126,126,2024-09-05 03:30:00,-0.01,-0.07
127,127,2024-09-05 04:30:00,-0.01,-0.06
128,128,2024-09-05 05:30:00,-0.02,-0.04
129,129,2024-09-05 06:30:00,-0.01,-0.04
130,130,2024-09-05 07:30:00,-0.01,-0.01
131,131,2024-09-05 08:30:00,-0.01,-0.0
132,132,2024-09-05 09:30:00,-0.01,0.01
133,133,2024-09-05 10:30:00,-0.0,0.02
134,134,2024-09-05 11:30:00,0.0,0.04
135,135,2024-09-05 12:30:00,0.02,0.04
136,136,2024-09-05 13:30:00,0.02,0.05
137,137,2024-09-05 14:30:00,0.03,0.05
138,138,2024-09-05 15:30:00,0.03,0.06
139,139,2024-09-05 16:30:00,0.02,0.06
140,140,2024-09-05 17:30:00,0.01,0.08
141,141,2024-09-05 18:30:00,0.03,0.06
142,142,2024-09-05 19:30:00,0.04,0.06
143,143,2024-09-05 20:30:00,0.05,0.03
144,144,2024-09-05 21:30:00,0.05,0.02
145,145,2024-09-05 22:30:00,0.04,-0.0
146,146,2024-09-05 23:30:00,0.04,-0.01
147,147,2024-09-06 00:30:00,0.04,-0.02
148,148,2024-09-06 01:30:00,0.02,-0.02
149,149,2024-09-06 02:30:00,-0.0,-0.02
150,150,2024-09-06 03:30:00,-0.01,-0.01
151,151,2024-09-06 04:30:00,-0.02,0.0
152,152,2024-09-06 05:30:00,-0.03,0.02
153,153,2024-09-06 06:30:00,-0.03,0.04
154,154,2024-09-06 07:30:00,-0.04,0.07
155,155,2024-09-06 08:30:00,-0.05,0.08
156,156,2024-09-06 09:30:00,-0.06,0.1
157,157,2024-09-06 10:30:00,-0.05,0.1
158,158,2024-09-06 11:30:00,-0.04,0.1
159,159,2024-09-06 12:30:00,-0.02,0.09
160,160,2024-09-06 13:30:00,-0.01,0.09
161,161,2024-09-06 14:30:00,0.01,0.07
162,162,2024-09-06 15:30:00,0.01,0.07
163,163,2024-09-06 16:30:00,0.02,0.06
164,164,2024-09-06 17:30:00,0.01,0.07
165,165,2024-09-06 18:30:00,0.0,0.07
166,166,2024-09-06 19:30:00,-0.0,0.07
167,167,2024-09-06 20:30:00,-0.01,0.07
168,168,2024-09-06 21:30:00,-0.02,0.07
169,169,2024-09-06 22:30:00,-0.03,0.06
170,170,2024-09-06 23:30:00,-0.03,0.07
171,171,2024-09-07 00:30:00,-0.04,0.06
172,172,2024-09-07 01:30:00,-0.04,0.07
173,173,2024-09-07 02:30:00,-0.04,0.07
174,174,2024-09-07 03:30:00,-0.01,0.06
175,175,2024-09-07 04:30:00,0.01,0.04
176,176,2024-09-07 05:30:00,0.03,0.03
177,177,2024-09-07 06:30:00,0.04,-0.0
178,178,2024-09-07 07:30:00,0.04,-0.01
179,179,2024-09-07 08:30:00,0.04,-0.03
180,180,2024-09-07 09:30:00,0.01,-0.03
181,181,2024-09-07 10:30:00,-0.01,-0.03
182,182,2024-09-07 11:30:00,-0.04,0.01
183,183,2024-09-07 12:30:00,-0.05,0.03
184,184,2024-09-07 13:30:00,-0.05,0.06
185,185,2024-09-07 14:30:00,-0.05,0.07
186,186,2024-09-07 15:30:00,-0.05,0.09
187,187,2024-09-07 16:30:00,-0.04,0.09
188,188,2024-09-07 17:30:00,-0.03,0.1
189,189,2024-09-07 18:30:00,-0.02,0.09
190,190,2024-09-07 19:30:00,-0.0,0.09
191,191,2024-09-07 20:30:00,0.02,0.07
192,192,2024-09-07 21:30:00,0.03,0.05
193,193,2024-09-07 22:30:00,0.04,0.02
194,194,2024-09-07 23:30:00,0.04,0.0
195,195,2024-09-08 00:30:00,0.04,-0.02
196,196,2024-09-08 01:30:00,0.02,-0.02
197,197,2024-09-08 02:30:00,-0.0,-0.03
198,198,2024-09-08 03:30:00,-0.02,-0.01
199,199,2024-09-08 04:30:00,-0.01,-0.01
200,200,2024-09-08 05:30:00,-0.02,0.0
201,201,2024-09-08 06:30:00,-0.03,0.01
202,202,2024-09-08 07:30:00,-0.04,0.04
203,203,2024-09-08 08:30:00,-0.04,0.05
