N,itm,Date,u,v
1,1,2024-08-30 22:30:00,0.02,-0.04
2,2,2024-08-30 23:30:00,0.01,-0.05
3,3,2024-08-31 00:30:00,-0.0,-0.05
4,4,2024-08-31 01:30:00,-0.01,-0.03
5,5,2024-08-31 02:30:00,-0.03,0.0
6,6,2024-08-31 03:30:00,-0.08,0.06
7,7,2024-08-31 04:30:00,-0.19,0.11
8,8,2024-08-31 05:30:00,-0.13,0.15
9,9,2024-08-31 06:30:00,-0.01,0.16
10,10,2024-08-31 07:30:00,0.09,0.14
11,11,2024-08-31 08:30:00,0.14,0.12
12,12,2024-08-31 09:30:00,0.17,0.12
13,13,2024-08-31 10:30:00,0.15,0.11
14,14,2024-08-31 11:30:00,0.11,0.1
15,15,2024-08-31 12:30:00,0.09,0.08
16,16,2024-08-31 13:30:00,0.07,0.07
17,17,2024-08-31 14:30:00,0.04,0.05
18,18,2024-08-31 15:30:00,0.02,0.02
19,19,2024-08-31 16:30:00,-0.0,-0.0
20,20,2024-08-31 17:30:00,-0.0,-0.02
21,21,2024-08-31 18:30:00,-0.0,-0.03
22,22,2024-08-31 19:30:00,-0.0,-0.05
23,23,2024-08-31 20:30:00,-0.0,-0.06
24,24,2024-08-31 21:30:00,-0.01,-0.06
25,25,2024-08-31 22:30:00,-0.01,-0.06
26,26,2024-08-31 23:30:00,-0.01,-0.05
27,27,2024-09-01 00:30:00,-0.02,-0.04
28,28,2024-09-01 01:30:00,-0.04,-0.02
29,29,2024-09-01 02:30:00,-0.05,0.01
30,30,2024-09-01 03:30:00,-0.06,0.04
31,31,2024-09-01 04:30:00,-0.07,0.05
32,32,2024-09-01 05:30:00,-0.03,0.04
33,33,2024-09-01 06:30:00,0.01,0.04
34,34,2024-09-01 07:30:00,0.05,0.03
35,35,2024-09-01 08:30:00,0.1,0.02
36,36,2024-09-01 09:30:00,0.12,0.0
37,37,2024-09-01 10:30:00,0.1,0.02
38,38,2024-09-01 11:30:00,0.08,0.04
39,39,2024-09-01 12:30:00,0.07,0.06
40,40,2024-09-01 13:30:00,0.05,0.06
41,41,2024-09-01 14:30:00,0.04,0.05
42,42,2024-09-01 15:30:00,0.03,0.03
43,43,2024-09-01 16:30:00,0.03,0.02
44,44,2024-09-01 17:30:00,0.03,-0.0
45,45,2024-09-01 18:30:00,0.03,-0.02
46,46,2024-09-01 19:30:00,0.02,-0.03
47,47,2024-09-01 20:30:00,0.01,-0.04
48,48,2024-09-01 21:30:00,0.0,-0.04
49,49,2024-09-01 22:30:00,-0.0,-0.05
50,50,2024-09-01 23:30:00,-0.01,-0.05
51,51,2024-09-02 00:30:00,-0.01,-0.05
52,52,2024-09-02 01:30:00,-0.0,-0.05
53,53,2024-09-02 02:30:00,-0.0,-0.05
54,54,2024-09-02 03:30:00,-0.0,-0.04
55,55,2024-09-02 04:30:00,-0.01,-0.03
56,56,2024-09-02 05:30:00,-0.01,-0.02
57,57,2024-09-02 06:30:00,-0.03,0.01
58,58,2024-09-02 07:30:00,-0.08,0.04
59,59,2024-09-02 08:30:00,-0.11,0.06
60,60,2024-09-02 09:30:00,-0.06,0.07
61,61,2024-09-02 10:30:00,0.02,0.08
62,62,2024-09-02 11:30:00,0.1,0.07
63,63,2024-09-02 12:30:00,0.14,0.05
64,64,2024-09-02 13:30:00,0.13,0.04
65,65,2024-09-02 14:30:00,0.1,0.05
66,66,2024-09-02 15:30:00,0.07,0.06
67,67,2024-09-02 16:30:00,0.06,0.05
68,68,2024-09-02 17:30:00,0.05,0.05
69,69,2024-09-02 18:30:00,0.03,0.03
70,70,2024-09-02 19:30:00,0.01,0.02
71,71,2024-09-02 20:30:00,0.0,0.0
72,72,2024-09-02 21:30:00,0.0,-0.02
73,73,2024-09-02 22:30:00,0.01,-0.03
74,74,2024-09-02 23:30:00,0.01,-0.05
75,75,2024-09-03 00:30:00,0.01,-0.06
76,76,2024-09-03 01:30:00,0.0,-0.07
77,77,2024-09-03 02:30:00,-0.02,-0.07
78,78,2024-09-03 03:30:00,-0.03,-0.07
79,79,2024-09-03 04:30:00,-0.03,-0.05
80,80,2024-09-03 05:30:00,-0.02,-0.04
81,81,2024-09-03 06:30:00,-0.01,-0.04
82,82,2024-09-03 07:30:00,-0.0,-0.04
83,83,2024-09-03 08:30:00,-0.01,-0.04
84,84,2024-09-03 09:30:00,-0.02,-0.03
85,85,2024-09-03 10:30:00,-0.04,-0.01
86,86,2024-09-03 11:30:00,-0.06,0.01
87,87,2024-09-03 12:30:00,-0.06,0.03
88,88,2024-09-03 13:30:00,-0.04,0.04
89,89,2024-09-03 14:30:00,0.0,0.04
90,90,2024-09-03 15:30:00,0.04,0.03
91,91,2024-09-03 16:30:00,0.05,0.02
92,92,2024-09-03 17:30:00,0.06,0.01
93,93,2024-09-03 18:30:00,0.05,0.01
94,94,2024-09-03 19:30:00,0.05,0.01
95,95,2024-09-03 20:30:00,0.05,0.02
96,96,2024-09-03 21:30:00,0.04,0.01
97,97,2024-09-03 22:30:00,0.03,0.01
98,98,2024-09-03 23:30:00,0.02,-0.0
99,99,2024-09-04 00:30:00,0.01,-0.01
100,100,2024-09-04 01:30:00,0.0,-0.02
101,101,2024-09-04 02:30:00,0.0,-0.04
102,102,2024-09-04 03:30:00,0.01,-0.05
103,103,2024-09-04 04:30:00,0.0,-0.05
104,104,2024-09-04 05:30:00,0.0,-0.06
105,105,2024-09-04 06:30:00,-0.01,-0.06
106,106,2024-09-04 07:30:00,-0.01,-0.05
107,107,2024-09-04 08:30:00,-0.02,-0.05
108,108,2024-09-04 09:30:00,-0.01,-0.04
109,109,2024-09-04 10:30:00,-0.01,-0.03
110,110,2024-09-04 11:30:00,-0.01,-0.02
