N,itm,Date,u,v
1,1,2025-10-16 18:30:00,0.0,-0.02
2,2,2025-10-16 19:30:00,0.0,-0.02
3,3,2025-10-16 20:30:00,-0.0,-0.01
4,4,2025-10-16 21:30:00,-0.0,-0.0
5,5,2025-10-16 22:30:00,-0.0,0.01
6,6,2025-10-16 23:30:00,-0.01,0.03
7,7,2025-10-17 00:30:00,0.0,0.04
8,8,2025-10-17 01:30:00,0.01,0.06
9,9,2025-10-17 02:30:00,0.02,0.09
10,10,2025-10-17 03:30:00,0.03,0.12
11,11,2025-10-17 04:30:00,0.04,0.14
12,12,2025-10-17 05:30:00,0.03,0.14
13,13,2025-10-17 06:30:00,0.01,0.13
14,14,2025-10-17 07:30:00,0.0,0.12
15,15,2025-10-17 08:30:00,0.01,0.11
16,16,2025-10-17 09:30:00,0.02,0.09
17,17,2025-10-17 10:30:00,0.01,0.07
18,18,2025-10-17 11:30:00,0.01,0.06
19,19,2025-10-17 12:30:00,0.02,0.05
20,20,2025-10-17 13:30:00,0.02,0.03
21,21,2025-10-17 14:30:00,0.02,0.02
22,22,2025-10-17 15:30:00,0.01,0.01
23,23,2025-10-17 16:30:00,0.01,0.0
24,24,2025-10-17 17:30:00,0.01,-0.01
25,25,2025-10-17 18:30:00,0.0,-0.02
26,26,2025-10-17 19:30:00,-0.0,-0.02
27,27,2025-10-17 20:30:00,0.0,-0.02
28,28,2025-10-17 21:30:00,0.0,-0.01
29,29,2025-10-17 22:30:00,-0.0,-0.01
30,30,2025-10-17 23:30:00,-0.01,0.0
31,31,2025-10-18 00:30:00,-0.01,0.01
32,32,2025-10-18 01:30:00,-0.01,0.01
33,33,2025-10-18 02:30:00,-0.01,0.02
34,34,2025-10-18 03:30:00,-0.01,0.05
35,35,2025-10-18 04:30:00,0.01,0.07
36,36,2025-10-18 05:30:00,0.02,0.09
37,37,2025-10-18 06:30:00,0.02,0.11
38,38,2025-10-18 07:30:00,0.0,0.11
39,39,2025-10-18 08:30:00,-0.01,0.12
40,40,2025-10-18 09:30:00,0.01,0.13
41,41,2025-10-18 10:30:00,0.03,0.13
42,42,2025-10-18 11:30:00,0.04,0.12
43,43,2025-10-18 12:30:00,0.05,0.1
44,44,2025-10-18 13:30:00,0.06,0.09
45,45,2025-10-18 14:30:00,0.07,0.07
46,46,2025-10-18 15:30:00,0.08,0.04
47,47,2025-10-18 16:30:00,0.08,0.02
48,48,2025-10-18 17:30:00,0.06,0.01
49,49,2025-10-18 18:30:00,0.05,-0.01
50,50,2025-10-18 19:30:00,0.04,-0.02
51,51,2025-10-18 20:30:00,0.03,-0.02
52,52,2025-10-18 21:30:00,0.02,-0.02
53,53,2025-10-18 22:30:00,0.0,-0.02
54,54,2025-10-18 23:30:00,-0.01,-0.02
55,55,2025-10-19 00:30:00,-0.01,-0.02
56,56,2025-10-19 01:30:00,-0.01,-0.02
57,57,2025-10-19 02:30:00,-0.02,-0.02
58,58,2025-10-19 03:30:00,-0.02,-0.01
59,59,2025-10-19 04:30:00,-0.02,-0.0
60,60,2025-10-19 05:30:00,-0.02,0.01
61,61,2025-10-19 06:30:00,-0.01,0.02
62,62,2025-10-19 07:30:00,-0.0,0.03
63,63,2025-10-19 08:30:00,0.0,0.04
64,64,2025-10-19 09:30:00,-0.0,0.04
65,65,2025-10-19 10:30:00,-0.01,0.04
66,66,2025-10-19 11:30:00,-0.01,0.04
67,67,2025-10-19 12:30:00,-0.0,0.04
68,68,2025-10-19 13:30:00,-0.0,0.03
69,69,2025-10-19 14:30:00,-0.01,0.02
70,70,2025-10-19 15:30:00,-0.01,0.01
71,71,2025-10-19 16:30:00,-0.02,0.01
72,72,2025-10-19 17:30:00,-0.02,-0.01
73,73,2025-10-19 18:30:00,-0.02,-0.01
74,74,2025-10-19 19:30:00,-0.02,-0.02
75,75,2025-10-19 20:30:00,-0.03,-0.02
76,76,2025-10-19 21:30:00,-0.03,-0.03
77,77,2025-10-19 22:30:00,-0.02,-0.03
78,78,2025-10-19 23:30:00,-0.02,-0.03
79,79,2025-10-20 00:30:00,-0.01,-0.03
80,80,2025-10-20 01:30:00,-0.01,-0.03
81,81,2025-10-20 02:30:00,-0.01,-0.03
82,82,2025-10-20 03:30:00,-0.01,-0.03
83,83,2025-10-20 04:30:00,-0.01,-0.04
84,84,2025-10-20 05:30:00,-0.01,-0.04
85,85,2025-10-20 06:30:00,-0.01,-0.04
86,86,2025-10-20 07:30:00,-0.02,-0.04
87,87,2025-10-20 08:30:00,-0.02,-0.04
88,88,2025-10-20 09:30:00,-0.01,-0.03
89,89,2025-10-20 10:30:00,-0.01,-0.03
90,90,2025-10-20 11:30:00,-0.01,-0.03
91,91,2025-10-20 12:30:00,-0.01,-0.02
92,92,2025-10-20 13:30:00,-0.0,-0.01
93,93,2025-10-20 14:30:00,-0.0,-0.01
94,94,2025-10-20 15:30:00,-0.0,-0.01
95,95,2025-10-20 16:30:00,-0.0,-0.0
96,96,2025-10-20 17:30:00,-0.0,-0.01
97,97,2025-10-20 18:30:00,-0.0,-0.01
98,98,2025-10-20 19:30:00,-0.0,-0.02
