N,itm,Date,u,v
1,1,2024-08-30 22:30:00,-0.07,-0.05
2,2,2024-08-30 23:30:00,0.02,0.05
3,3,2024-08-31 00:30:00,0.22,0.16
4,4,2024-08-31 01:30:00,0.42,0.14
5,5,2024-08-31 02:30:00,0.33,0.06
6,6,2024-08-31 03:30:00,0.17,0.05
7,7,2024-08-31 04:30:00,0.12,0.03
8,8,2024-08-31 05:30:00,0.15,-0.03
9,9,2024-08-31 06:30:00,0.16,-0.08
10,10,2024-08-31 07:30:00,0.16,-0.08
11,11,2024-08-31 08:30:00,0.16,-0.08
12,12,2024-08-31 09:30:00,0.18,-0.1
13,13,2024-08-31 10:30:00,0.18,-0.12
14,14,2024-08-31 11:30:00,0.14,-0.1
15,15,2024-08-31 12:30:00,0.1,-0.06
16,16,2024-08-31 13:30:00,0.07,-0.02
17,17,2024-08-31 14:30:00,0.04,-0.01
18,18,2024-08-31 15:30:00,0.01,-0.01
19,19,2024-08-31 16:30:00,-0.01,-0.01
20,20,2024-08-31 17:30:00,-0.02,-0.02
21,21,2024-08-31 18:30:00,-0.02,-0.02
22,22,2024-08-31 19:30:00,0.01,-0.0
23,23,2024-08-31 20:30:00,0.04,0.02
24,24,2024-08-31 21:30:00,0.07,0.05
25,25,2024-08-31 22:30:00,0.11,0.08
26,26,2024-08-31 23:30:00,0.17,0.12
27,27,2024-09-01 00:30:00,0.25,0.14
28,28,2024-09-01 01:30:00,0.31,0.13
29,29,2024-09-01 02:30:00,0.25,0.11
30,30,2024-09-01 03:30:00,0.17,0.1
31,31,2024-09-01 04:30:00,0.11,0.07
32,32,2024-09-01 05:30:00,0.09,0.04
33,33,2024-09-01 06:30:00,0.09,0.01
34,34,2024-09-01 07:30:00,0.08,-0.02
35,35,2024-09-01 08:30:00,0.06,-0.03
36,36,2024-09-01 09:30:00,0.03,-0.05
37,37,2024-09-01 10:30:00,-0.0,-0.07
38,38,2024-09-01 11:30:00,-0.02,-0.07
39,39,2024-09-01 12:30:00,-0.05,-0.06
40,40,2024-09-01 13:30:00,-0.07,-0.08
41,41,2024-09-01 14:30:00,-0.09,-0.1
42,42,2024-09-01 15:30:00,-0.11,-0.12
43,43,2024-09-01 16:30:00,-0.12,-0.13
44,44,2024-09-01 17:30:00,-0.13,-0.14
45,45,2024-09-01 18:30:00,-0.14,-0.14
46,46,2024-09-01 19:30:00,-0.15,-0.14
47,47,2024-09-01 20:30:00,-0.15,-0.13
48,48,2024-09-01 21:30:00,-0.15,-0.14
49,49,2024-09-01 22:30:00,-0.16,-0.14
50,50,2024-09-01 23:30:00,-0.16,-0.13
51,51,2024-09-02 00:30:00,-0.15,-0.12
52,52,2024-09-02 01:30:00,-0.13,-0.11
53,53,2024-09-02 02:30:00,-0.09,-0.07
54,54,2024-09-02 03:30:00,-0.0,-0.01
55,55,2024-09-02 04:30:00,0.16,0.03
56,56,2024-09-02 05:30:00,0.23,0.02
57,57,2024-09-02 06:30:00,0.1,0.03
58,58,2024-09-02 07:30:00,-0.03,0.04
59,59,2024-09-02 08:30:00,-0.12,0.02
60,60,2024-09-02 09:30:00,-0.15,0.01
61,61,2024-09-02 10:30:00,-0.14,-0.01
62,62,2024-09-02 11:30:00,-0.13,-0.04
63,63,2024-09-02 12:30:00,-0.14,-0.1
64,64,2024-09-02 13:30:00,-0.16,-0.13
65,65,2024-09-02 14:30:00,-0.18,-0.13
66,66,2024-09-02 15:30:00,-0.19,-0.12
67,67,2024-09-02 16:30:00,-0.2,-0.11
68,68,2024-09-02 17:30:00,-0.2,-0.11
69,69,2024-09-02 18:30:00,-0.19,-0.12
70,70,2024-09-02 19:30:00,-0.18,-0.13
71,71,2024-09-02 20:30:00,-0.17,-0.14
72,72,2024-09-02 21:30:00,-0.16,-0.15
73,73,2024-09-02 22:30:00,-0.15,-0.14
74,74,2024-09-02 23:30:00,-0.15,-0.14
75,75,2024-09-03 00:30:00,-0.14,-0.14
76,76,2024-09-03 01:30:00,-0.12,-0.14
77,77,2024-09-03 02:30:00,-0.11,-0.13
78,78,2024-09-03 03:30:00,-0.1,-0.11
79,79,2024-09-03 04:30:00,-0.08,-0.08
80,80,2024-09-03 05:30:00,-0.04,-0.05
