N,itm,Date,u,v
1,1,2025-09-28 18:30:00,0.08,0.01
2,2,2025-09-28 19:30:00,0.05,-0.03
3,3,2025-09-28 20:30:00,0.01,-0.05
4,4,2025-09-28 21:30:00,-0.04,-0.07
5,5,2025-09-28 22:30:00,-0.07,-0.09
6,6,2025-09-28 23:30:00,-0.09,-0.09
7,7,2025-09-29 00:30:00,-0.11,-0.07
8,8,2025-09-29 01:30:00,-0.11,-0.05
9,9,2025-09-29 02:30:00,-0.1,-0.05
10,10,2025-09-29 03:30:00,-0.1,-0.05
11,11,2025-09-29 04:30:00,-0.09,-0.04
12,12,2025-09-29 05:30:00,-0.08,-0.04
13,13,2025-09-29 06:30:00,-0.07,-0.02
14,14,2025-09-29 07:30:00,-0.04,-0.01
15,15,2025-09-29 08:30:00,-0.01,0.01
16,16,2025-09-29 09:30:00,0.03,0.03
17,17,2025-09-29 10:30:00,0.07,0.06
18,18,2025-09-29 11:30:00,0.11,0.08
19,19,2025-09-29 12:30:00,0.14,0.09
20,20,2025-09-29 13:30:00,0.16,0.08
21,21,2025-09-29 14:30:00,0.14,0.07
22,22,2025-09-29 15:30:00,0.11,0.06
23,23,2025-09-29 16:30:00,0.06,0.05
24,24,2025-09-29 17:30:00,0.07,0.02
25,25,2025-09-29 18:30:00,0.07,-0.1
26,26,2025-09-29 19:30:00,0.02,-0.16
27,27,2025-09-29 20:30:00,-0.03,-0.14
28,28,2025-09-29 21:30:00,-0.07,-0.09
29,29,2025-09-29 22:30:00,-0.1,-0.05
30,30,2025-09-29 23:30:00,-0.1,-0.03
31,31,2025-09-30 00:30:00,-0.09,-0.02
32,32,2025-09-30 01:30:00,-0.08,-0.03
33,33,2025-09-30 02:30:00,-0.07,-0.04
34,34,2025-09-30 03:30:00,-0.07,-0.05
35,35,2025-09-30 04:30:00,-0.08,-0.07
36,36,2025-09-30 05:30:00,-0.09,-0.08
37,37,2025-09-30 06:30:00,-0.1,-0.07
38,38,2025-09-30 07:30:00,-0.09,-0.07
39,39,2025-09-30 08:30:00,-0.08,-0.06
40,40,2025-09-30 09:30:00,-0.06,-0.03
41,41,2025-09-30 10:30:00,-0.03,0.0
42,42,2025-09-30 11:30:00,0.02,0.03
43,43,2025-09-30 12:30:00,0.08,0.08
44,44,2025-09-30 13:30:00,0.13,0.11
45,45,2025-09-30 14:30:00,0.16,0.12
46,46,2025-09-30 15:30:00,0.16,0.12
47,47,2025-09-30 16:30:00,0.11,0.1
48,48,2025-09-30 17:30:00,0.06,0.09
49,49,2025-09-30 18:30:00,0.03,0.07
50,50,2025-09-30 19:30:00,0.02,0.0
51,51,2025-09-30 20:30:00,-0.03,-0.1
52,52,2025-09-30 21:30:00,-0.12,-0.15
53,53,2025-09-30 22:30:00,-0.17,-0.15
54,54,2025-09-30 23:30:00,-0.18,-0.16
55,55,2025-10-01 00:30:00,-0.2,-0.17
56,56,2025-10-01 01:30:00,-0.22,-0.14
