Site,Date,Depth,chl,Source
13_isi,2020-01-01,5,0.6060522198677063,MY
13_isi,2020-01-01,10,0.6063159108161926,MY
13_isi,2020-01-01,15,0.6064442992210388,MY
13_isi,2020-01-01,20,0.6063477993011475,MY
13_isi,2020-01-01,30,0.6024442911148071,MY
13_isi,2020-01-01,40,0.4228158891201019,MY
13_isi,2020-01-01,50,0.411882221698761,MY
13_isi,2020-01-02,5,0.6485525369644165,MY
13_isi,2020-01-02,10,0.6490349173545837,MY
13_isi,2020-01-02,15,0.6493345499038696,MY
13_isi,2020-01-02,20,0.6494517922401428,MY
13_isi,2020-01-02,30,0.6469525694847107,MY
13_isi,2020-01-02,40,0.4409495592117309,MY
13_isi,2020-01-02,50,0.4365399181842804,MY
13_isi,2020-01-03,5,0.6758775115013123,MY
13_isi,2020-01-03,10,0.6765881180763245,MY
13_isi,2020-01-03,15,0.6770883202552795,MY
13_isi,2020-01-03,20,0.6774433851242065,MY
13_isi,2020-01-03,30,0.6752190589904785,MY
13_isi,2020-01-03,40,0.4547584354877472,MY
13_isi,2020-01-03,50,0.4538130760192871,MY
13_isi,2020-01-04,5,0.6897174715995789,MY
13_isi,2020-01-04,10,0.6904659867286682,MY
13_isi,2020-01-04,15,0.6910175681114197,MY
13_isi,2020-01-04,20,0.6915261745452881,MY
13_isi,2020-01-04,30,0.6912667751312256,MY
13_isi,2020-01-04,40,0.4662845730781555,MY
13_isi,2020-01-04,50,0.4654819667339325,MY
13_isi,2020-01-05,5,0.7079285979270935,MY
13_isi,2020-01-05,10,0.7088578343391418,MY
13_isi,2020-01-05,15,0.7096101641654968,MY
13_isi,2020-01-05,20,0.7104169726371765,MY
13_isi,2020-01-05,30,0.7120710611343384,MY
13_isi,2020-01-05,40,0.4848691523075104,MY
13_isi,2020-01-05,50,0.4805182516574859,MY
13_isi,2020-01-06,5,0.711369514465332,MY
13_isi,2020-01-06,10,0.7121633887290955,MY
13_isi,2020-01-06,15,0.712756872177124,MY
13_isi,2020-01-06,20,0.7133196592330933,MY
13_isi,2020-01-06,30,0.7139247059822083,MY
13_isi,2020-01-06,40,0.4948827922344208,MY
13_isi,2020-01-06,50,0.4904118776321411,MY
13_isi,2020-01-07,5,0.7060078382492065,MY
13_isi,2020-01-07,10,0.7039479613304138,MY
13_isi,2020-01-07,15,0.6995681524276733,MY
13_isi,2020-01-07,20,0.6903921365737915,MY
13_isi,2020-01-07,30,0.6676400303840637,MY
13_isi,2020-01-07,40,0.4722630083560943,MY
13_isi,2020-01-07,50,0.4576356112957001,MY
13_isi,2020-01-08,5,0.6995471715927124,MY
13_isi,2020-01-08,10,0.6968527436256409,MY
13_isi,2020-01-08,15,0.6896851658821106,MY
13_isi,2020-01-08,20,0.6596483588218689,MY
13_isi,2020-01-08,30,0.6128796935081482,MY
13_isi,2020-01-08,40,0.433758795261383,MY
13_isi,2020-01-08,50,0.4003280699253082,MY
13_isi,2020-01-09,5,0.6758054494857788,MY
13_isi,2020-01-09,10,0.6739923357963562,MY
13_isi,2020-01-09,15,0.6704988479614258,MY
13_isi,2020-01-09,20,0.6517505645751953,MY
13_isi,2020-01-09,30,0.5693349242210388,MY
13_isi,2020-01-09,40,0.4188241362571716,MY
13_isi,2020-01-09,50,0.3558399081230163,MY
13_isi,2020-01-10,5,0.6880480051040649,MY
13_isi,2020-01-10,10,0.6819092631340027,MY
13_isi,2020-01-10,15,0.6724075675010681,MY
13_isi,2020-01-10,20,0.641755998134613,MY
13_isi,2020-01-10,30,0.5346840620040894,MY
13_isi,2020-01-10,40,0.3901881873607635,MY
13_isi,2020-01-10,50,0.3268163204193115,MY
13_isi,2020-01-11,5,0.7280700206756592,MY
13_isi,2020-01-11,10,0.7213166952133179,MY
13_isi,2020-01-11,15,0.7077414393424988,MY
13_isi,2020-01-11,20,0.6535130739212036,MY
13_isi,2020-01-11,30,0.5224764943122864,MY
13_isi,2020-01-11,40,0.384875625371933,MY
13_isi,2020-01-11,50,0.3265980780124664,MY
13_isi,2020-01-12,5,0.7335588932037354,MY
13_isi,2020-01-12,10,0.7314597368240356,MY
13_isi,2020-01-12,15,0.72755366563797,MY
13_isi,2020-01-12,20,0.6942700147628784,MY
13_isi,2020-01-12,30,0.5159400701522827,MY
13_isi,2020-01-12,40,0.3904978334903717,MY
13_isi,2020-01-12,50,0.3437396287918091,MY
13_isi,2020-01-13,5,0.6997093558311462,MY
13_isi,2020-01-13,10,0.6983439326286316,MY
13_isi,2020-01-13,15,0.6960186958312988,MY
13_isi,2020-01-13,20,0.6850414276123047,MY
13_isi,2020-01-13,30,0.4808923304080963,MY
13_isi,2020-01-13,40,0.4266081154346466,MY
13_isi,2020-01-13,50,0.3455587327480316,MY
13_isi,2020-01-14,5,0.6877830624580383,MY
13_isi,2020-01-14,10,0.6861992478370667,MY
13_isi,2020-01-14,15,0.683346152305603,MY
13_isi,2020-01-14,20,0.6703079342842102,MY
13_isi,2020-01-14,30,0.4571693241596222,MY
13_isi,2020-01-14,40,0.4385381042957306,MY
13_isi,2020-01-14,50,0.3400271534919739,MY
13_isi,2020-01-15,5,0.7039451003074646,MY
13_isi,2020-01-15,10,0.7004413604736328,MY
13_isi,2020-01-15,15,0.6933426260948181,MY
13_isi,2020-01-15,20,0.6645468473434448,MY
13_isi,2020-01-15,30,0.4334083199501037,MY
13_isi,2020-01-15,40,0.4131849110126495,MY
13_isi,2020-01-15,50,0.3308462798595428,MY
13_isi,2020-01-16,5,0.6886886954307556,MY
13_isi,2020-01-16,10,0.6869164705276489,MY
13_isi,2020-01-16,15,0.6840320229530334,MY
13_isi,2020-01-16,20,0.6707627773284912,MY
13_isi,2020-01-16,30,0.438375174999237,MY
13_isi,2020-01-16,40,0.4142473638057709,MY
13_isi,2020-01-16,50,0.3352393805980682,MY
13_isi,2020-01-17,5,0.6666746735572815,MY
13_isi,2020-01-17,10,0.6653783917427063,MY
13_isi,2020-01-17,15,0.6636607050895691,MY
13_isi,2020-01-17,20,0.6583802103996277,MY
13_isi,2020-01-17,30,0.4315981864929199,MY
13_isi,2020-01-17,40,0.4585007429122925,MY
