Site,Date,Depth,chl,Source
14_ota,2020-01-01,5,1.7333753108978271,MY
14_ota,2020-01-01,10,1.7351280450820925,MY
14_ota,2020-01-01,15,1.7365654706954956,MY
14_ota,2020-01-01,20,1.738386869430542,MY
14_ota,2020-01-01,30,1.7395541667938232,MY
14_ota,2020-01-01,40,0.6855667233467102,MY
14_ota,2020-01-02,5,1.6951287984848022,MY
14_ota,2020-01-02,10,1.6973958015441897,MY
14_ota,2020-01-02,15,1.69916033744812,MY
14_ota,2020-01-02,20,1.7013658285140991,MY
14_ota,2020-01-02,30,1.7087241411209106,MY
14_ota,2020-01-02,40,0.6836647391319275,MY
14_ota,2020-01-03,5,1.6672155857086182,MY
14_ota,2020-01-03,10,1.669700026512146,MY
14_ota,2020-01-03,15,1.671531319618225,MY
14_ota,2020-01-03,20,1.6735190153121948,MY
14_ota,2020-01-03,30,1.674991250038147,MY
14_ota,2020-01-03,40,0.6815662980079651,MY
14_ota,2020-01-04,5,1.6755632162094116,MY
14_ota,2020-01-04,10,1.6774911880493164,MY
14_ota,2020-01-04,15,1.6786048412322998,MY
14_ota,2020-01-04,20,1.6792176961898804,MY
14_ota,2020-01-04,30,1.6648271083831787,MY
14_ota,2020-01-04,40,0.6886024475097656,MY
14_ota,2020-01-05,5,1.7216401100158691,MY
14_ota,2020-01-05,10,1.7235240936279297,MY
14_ota,2020-01-05,15,1.7245995998382568,MY
14_ota,2020-01-05,20,1.725159764289856,MY
14_ota,2020-01-05,30,1.7107532024383545,MY
14_ota,2020-01-05,40,0.7114775776863098,MY
14_ota,2020-01-06,5,1.7716083526611328,MY
14_ota,2020-01-06,10,1.772573947906494,MY
14_ota,2020-01-06,15,1.7727952003479004,MY
14_ota,2020-01-06,20,1.7717950344085691,MY
14_ota,2020-01-06,30,1.7402185201644895,MY
14_ota,2020-01-06,40,0.7331042885780334,MY
14_ota,2020-01-07,5,1.8559064865112305,MY
14_ota,2020-01-07,10,1.8408085107803345,MY
14_ota,2020-01-07,15,1.819599151611328,MY
14_ota,2020-01-07,20,1.784656643867493,MY
14_ota,2020-01-07,30,1.669909119606018,MY
14_ota,2020-01-07,40,0.7285127639770508,MY
14_ota,2020-01-08,5,1.98193633556366,MY
14_ota,2020-01-08,10,1.9265761375427248,MY
14_ota,2020-01-08,15,1.834909200668335,MY
14_ota,2020-01-08,20,1.7264896631240845,MY
14_ota,2020-01-08,30,1.515618920326233,MY
14_ota,2020-01-08,40,0.710721492767334,MY
14_ota,2020-01-09,5,2.0774946212768555,MY
14_ota,2020-01-09,10,2.017023086547852,MY
14_ota,2020-01-09,15,1.853255271911621,MY
14_ota,2020-01-09,20,1.6667438745498655,MY
14_ota,2020-01-09,30,1.3845943212509155,MY
14_ota,2020-01-09,40,0.7297852039337158,MY
14_ota,2020-01-10,5,2.1872541904449463,MY
14_ota,2020-01-10,10,2.105130910873413,MY
14_ota,2020-01-10,15,1.8750582933425903,MY
14_ota,2020-01-10,20,1.5966737270355225,MY
14_ota,2020-01-10,30,1.2681840658187866,MY
14_ota,2020-01-10,40,0.7195602059364319,MY
14_ota,2020-01-11,5,2.2473700046539307,MY
14_ota,2020-01-11,10,2.15384578704834,MY
14_ota,2020-01-11,15,1.884698987007141,MY
14_ota,2020-01-11,20,1.5280932188034058,MY
14_ota,2020-01-11,30,1.175249457359314,MY
14_ota,2020-01-11,40,0.7518675327301025,MY
14_ota,2020-01-12,5,2.194982051849365,MY
14_ota,2020-01-12,10,2.169447898864746,MY
14_ota,2020-01-12,15,1.993375420570373,MY
14_ota,2020-01-12,20,1.518899917602539,MY
14_ota,2020-01-12,30,1.1006348133087158,MY
14_ota,2020-01-12,40,0.789007306098938,MY
14_ota,2020-01-13,5,2.124300241470337,MY
14_ota,2020-01-13,10,2.1168980598449707,MY
14_ota,2020-01-13,15,2.0899643898010254,MY
14_ota,2020-01-13,20,1.6189870834350586,MY
14_ota,2020-01-13,30,1.030882477760315,MY
14_ota,2020-01-13,40,0.7918227314949036,MY
14_ota,2020-01-14,5,2.1451046466827397,MY
14_ota,2020-01-14,10,2.134256601333618,MY
14_ota,2020-01-14,15,2.11016058921814,MY
14_ota,2020-01-14,20,1.7541519403457642,MY
14_ota,2020-01-14,30,0.9729737043380736,MY
14_ota,2020-01-14,40,0.7916437983512878,MY
14_ota,2020-01-15,5,2.215749502182007,MY
14_ota,2020-01-15,10,2.1831750869750977,MY
14_ota,2020-01-15,15,2.121001482009888,MY
14_ota,2020-01-15,20,1.8006283044815063,MY
14_ota,2020-01-15,30,0.9238222241401672,MY
14_ota,2020-01-15,40,0.7745904922485352,MY
14_ota,2020-01-16,5,2.187547445297241,MY
14_ota,2020-01-16,10,2.172713041305542,MY
14_ota,2020-01-16,15,2.1382603645324707,MY
14_ota,2020-01-16,20,1.9211891889572144,MY
14_ota,2020-01-16,30,0.8859599232673645,MY
14_ota,2020-01-16,40,0.8188839554786682,MY
14_ota,2020-01-17,5,2.133876085281372,MY
14_ota,2020-01-17,10,2.13076400756836,MY
14_ota,2020-01-17,15,2.125443935394287,MY
14_ota,2020-01-17,20,2.090540170669556,MY
14_ota,2020-01-17,30,0.8572473526000977,MY
14_ota,2020-01-17,40,0.8373265266418457,MY
14_ota,2020-01-18,5,2.191389560699463,MY
14_ota,2020-01-18,10,2.176289319992065,MY
14_ota,2020-01-18,15,2.1437933444976807,MY
14_ota,2020-01-18,20,2.044304609298706,MY
14_ota,2020-01-18,30,0.8303126692771912,MY
14_ota,2020-01-18,40,0.8147565722465515,MY
14_ota,2020-01-19,5,2.3111820220947266,MY
14_ota,2020-01-19,10,2.258025884628296,MY
14_ota,2020-01-19,15,2.152191162109375,MY
14_ota,2020-01-19,20,1.8707550764083865,MY
14_ota,2020-01-19,30,0.808275043964386,MY
14_ota,2020-01-19,40,0.7538349628448486,MY
14_ota,2020-01-20,5,2.376474380493164,MY
14_ota,2020-01-20,10,2.293818235397339,MY
14_ota,2020-01-20,15,2.141746759414673,MY
14_ota,2020-01-20,20,1.7628045082092283,MY
14_ota,2020-01-20,30,0.7945884466171265,MY
14_ota,2020-01-20,40,0.7205771207809448,MY
14_ota,2020-01-21,5,2.2648351192474365,MY
14_ota,2020-01-21,10,2.2534122467041016,MY
14_ota,2020-01-21,15,2.1960554122924805,MY
14_ota,2020-01-21,20,1.8222469091415403,MY
14_ota,2020-01-21,30,0.8046339154243469,MY
14_ota,2020-01-21,40,0.8365983366966248,MY
14_ota,2020-01-22,5,2.249020338058472,MY
14_ota,2020-01-22,10,2.233273506164551,MY
14_ota,2020-01-22,15,2.1818740367889404,MY
14_ota,2020-01-22,20,1.90315043926239,MY
14_ota,2020-01-22,30,0.831768274307251,MY
14_ota,2020-01-22,40,0.8432445526123047,MY
14_ota,2020-01-23,5,2.282855033874512,MY
14_ota,2020-01-23,10,2.252786874771118,MY
14_ota,2020-01-23,15,2.187427282333374,MY
14_ota,2020-01-23,20,1.9484025239944456,MY
14_ota,2020-01-23,30,0.8369083404541016,MY
14_ota,2020-01-23,40,0.8139338493347168,MY
14_ota,2020-01-24,5,2.069147109985352,MY
14_ota,2020-01-24,10,2.0656280517578125,MY
14_ota,2020-01-24,15,2.0589559078216557,MY
14_ota,2020-01-24,20,2.028381824493408,MY
14_ota,2020-01-24,30,1.0341001749038696,MY
14_ota,2020-01-24,40,0.9022117257118224,MY
14_ota,2020-01-25,5,1.9201775789260864,MY
14_ota,2020-01-25,10,1.919730305671692,MY
14_ota,2020-01-25,15,1.9180378913879397,MY
14_ota,2020-01-25,20,1.9119271039962769,MY
14_ota,2020-01-25,30,1.747673511505127,MY
14_ota,2020-01-25,40,0.9109368920326232,MY
14_ota,2020-01-26,5,1.962438702583313,MY
14_ota,2020-01-26,10,1.9637936353683472,MY
14_ota,2020-01-26,15,1.964355230331421,MY
