Site,Date,Depth,Temp,Source
13_isi,2020-01-01,5,5.872096940875053,MY
13_isi,2020-01-01,10,5.872096940875053,MY
13_isi,2020-01-01,15,5.872096940875053,MY
13_isi,2020-01-01,20,5.872096940875053,MY
13_isi,2020-01-01,30,5.872096940875053,MY
13_isi,2020-01-02,5,5.63332012295723,MY
13_isi,2020-01-02,10,5.63332012295723,MY
13_isi,2020-01-02,15,5.63332012295723,MY
13_isi,2020-01-02,20,5.63332012295723,MY
13_isi,2020-01-02,30,5.63332012295723,MY
13_isi,2020-01-03,5,5.476577058434486,MY
13_isi,2020-01-03,10,5.476577058434486,MY
13_isi,2020-01-03,15,5.476577058434486,MY
13_isi,2020-01-03,20,5.476577058434486,MY
13_isi,2020-01-03,30,5.477309502661228,MY
13_isi,2020-01-04,5,5.324961103498936,MY
13_isi,2020-01-04,10,5.324961103498936,MY
13_isi,2020-01-04,15,5.324961103498936,MY
13_isi,2020-01-04,20,5.324961103498936,MY
13_isi,2020-01-04,30,5.333017989993095,MY
13_isi,2020-01-05,5,5.190923810005188,MY
13_isi,2020-01-05,10,5.190923810005188,MY
13_isi,2020-01-05,15,5.190923810005188,MY
13_isi,2020-01-05,20,5.190923810005188,MY
13_isi,2020-01-05,30,5.1960509195923805,MY
13_isi,2020-01-06,5,5.0422376319766045,MY
13_isi,2020-01-06,10,5.042970076203346,MY
13_isi,2020-01-06,15,5.04443496465683,MY
13_isi,2020-01-06,20,5.045167408883572,MY
13_isi,2020-01-06,30,5.063478514552116,MY
13_isi,2020-01-07,5,4.870845682919025,MY
13_isi,2020-01-07,10,4.965330988168716,MY
13_isi,2020-01-07,15,5.017334528267384,MY
13_isi,2020-01-07,20,5.040040299296379,MY
13_isi,2020-01-07,30,5.166753150522709,MY
13_isi,2020-01-08,5,4.658436857163906,MY
13_isi,2020-01-08,10,4.807855479419231,MY
13_isi,2020-01-08,15,5.089114062488079,MY
13_isi,2020-01-08,20,5.1784722581505775,MY
13_isi,2020-01-08,30,5.393810860812664,MY
13_isi,2020-01-09,5,4.862788796424866,MY
13_isi,2020-01-09,10,4.885494567453861,MY
13_isi,2020-01-09,15,5.059816293418407,MY
13_isi,2020-01-09,20,5.213629581034184,MY
13_isi,2020-01-09,30,5.593035690486431,MY
13_isi,2020-01-10,5,4.985106982290745,MY
13_isi,2020-01-10,10,5.057618960738182,MY
13_isi,2020-01-10,15,5.179204702377319,MY
13_isi,2020-01-10,20,5.2766197845339775,MY
13_isi,2020-01-10,30,5.7036347687244415,MY
13_isi,2020-01-11,5,4.991698980331421,MY
13_isi,2020-01-11,10,5.087649174034596,MY
